kind,identifier,name,source,license,url,description,chromosome
Anatomy,UBERON:0002353,atrioventricular bundle,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002353,,
Anatomy,UBERON:0001825,paranasal sinus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001825,,
Anatomy,UBERON:0002205,manubrium of sternum,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002205,,
Anatomy,UBERON:0001636,posterior cerebral artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001636,,
Anatomy,UBERON:0002275,reticular formation,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002275,,
Anatomy,UBERON:0000042,serous membrane,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000042,,
Anatomy,UBERON:0001535,vertebral artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001535,,
Anatomy,UBERON:0001016,nervous system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001016,,
Anatomy,UBERON:0002366,bulbo-urethral gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002366,,
Anatomy,UBERON:0002053,zona glomerulosa of adrenal gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002053,,
Anatomy,UBERON:0002418,cartilage tissue,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002418,,
Anatomy,UBERON:0002028,hindbrain,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002028,,
Anatomy,UBERON:0001711,eyelid,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001711,,
Anatomy,UBERON:0002040,bronchial artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002040,,
Anatomy,UBERON:0001864,scala tympani,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001864,,
Anatomy,UBERON:0002228,rib,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002228,,
Anatomy,UBERON:0002113,kidney,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002113,,
Anatomy,UBERON:0001072,posterior vena cava,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001072,,
Anatomy,UBERON:0000996,vagina,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000996,,
Anatomy,UBERON:0001895,metencephalon,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001895,,
Anatomy,UBERON:0002067,dermis,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002067,,
Anatomy,UBERON:0002497,acromion,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002497,,
